product_name,link,overall_rating,price,product_category,product_description
Vapor X5 Next Gen Pre-Workout,https://shopee.com.my/search?keyword=Vapor%20X5%20Next%20Gen%20Pre-Workout,8.9,29.99,preworkout,A 5-In-1 Pre-Workout Formula Designed To Enhance Muscle Strength And Recovery*
Kasein,https://shopee.com.my/search?keyword=Kasein,8.9,54.99,protein,"Ultra-Premium, Cold-Processed Micellar Casein Isolate"
CELL-TECH,https://shopee.com.my/search?keyword=CELL-TECH,9.2,31.48,creatine,Creatine Powder to Build Muscle*
Gold Standard Natural 100% Whey,https://shopee.com.my/search?keyword=Gold%20Standard%20Natural%20100%%20Whey,9.3,57.99,protein,Perfect For Low Fat/Low Carb Diets!
Protein Cookie,https://shopee.com.my/search?keyword=Protein%20Cookie,9,8.39,protein,18G Of Gluten Free Whey Protein To Satisfy Your Muscles And Your Cookie Cravings
ONE Bar,https://shopee.com.my/search?keyword=ONE%20Bar,9.6,28.34,protein,Contains 21 Grams Of Protein**
Creatine 2500 Caps,https://shopee.com.my/search?keyword=Creatine%202500%20Caps,9.2,26.5,creatine,Increase The Results Of Training With More Endurance And Energy!*
Clear Muscle,https://shopee.com.my/search?keyword=Clear%20Muscle,8.7,49.98,BCAA,The Clear Pill That Helps Build Lean Muscle*
Select Protein,https://shopee.com.my/search?keyword=Select%20Protein,9.1,57.99,protein,Whey Protein Powder to Help Build Muscle*
Cell Tech Hyper-Build,https://shopee.com.my/search?keyword=Cell%20Tech%20Hyper-Build,9.8,24.49,BCAA,5-in-1 Powerful Post-Workout Formula*
Her Aminos,https://shopee.com.my/search?keyword=Her%20Aminos,9.5,23.5,BCAA,Comprehensive Amino Acid Blend!
Phase8,https://shopee.com.my/search?keyword=Phase8,8.4,31.35,protein,Muscle Building Protein Powder Blend*
Signature Mass Gainer,https://shopee.com.my/search?keyword=Signature%20Mass%20Gainer,8.7,50,protein,67g of Mass-Building Protein*
Cake Bites,https://shopee.com.my/search?keyword=Cake%20Bites,7.8,24.99,protein,Deliciously Whipped High-Protein Snack With 20G Of Protein Per 3-Cake Serving*
Super Mass Gainer,https://shopee.com.my/search?keyword=Super%20Mass%20Gainer,8.2,46.97,protein,Formulated with 52 grams of Protein to Support Massive Gains*
PRE W.O.,https://shopee.com.my/search?keyword=PRE%20W.O.,9,39.99,preworkout,"Perfectly Engineered Pre-workout to maximize Energy, Strength, Pump and Intensity*"
Gold Standard 100% Plant,https://shopee.com.my/search?keyword=Gold%20Standard%20100%%20Plant,9,29.99,protein,24g Of Organic Plant Protein Per Serving
Mass JYM,https://shopee.com.my/search?keyword=Mass%20JYM,8.6,63.97,protein,"30G Protein, 30G Carbs And Nearly 5G Fat In Every Serving"
C4 Extreme Energy,https://shopee.com.my/search?keyword=C4%20Extreme%20Energy,8.5,34.99,preworkout,Explosive High Sensory Pre-Workout Energy*
Amino Synergy,https://shopee.com.my/search?keyword=Amino%20Synergy,9.9,27.99,BCAA,Essential Amino Acids to Support Workout Recovery
Isopure Infusions,https://shopee.com.my/search?keyword=Isopure%20Infusions,9.1,24.99,protein,20g of Whey Protein Isolate to Support Lean Muscle Growth and Recovery*
Kre-Alkalyn EFX,https://shopee.com.my/search?keyword=Kre-Alkalyn%20EFX,8.7,28.65,creatine,pH Correct Creatine for Building Muscle*
Creature Powder,https://shopee.com.my/search?keyword=Creature%20Powder,9.4,27.21,creatine,4G Of Professional Strength Creatine Blend For Building And Sustaining Muscle*
BCAA 1000 Caps,https://shopee.com.my/search?keyword=BCAA%201000%20Caps,8.9,19.99,BCAA,Amino Acid Capsules for Repairing Muscle*
High Volume,https://shopee.com.my/search?keyword=High%20Volume,9.1,31.48,preworkout,Support Pump!*
HMB 1000 Caps,https://shopee.com.my/search?keyword=HMB%201000%20Caps,8.5,28.71,BCAA,BCAA Metabolite
The Ripper!,https://shopee.com.my/search?keyword=The%20Ripper!,8.7,28.93,preworkout,"A fast acting, full-strength fat burner.*"
Big 100 Colossal Bars,https://shopee.com.my/search?keyword=Big%20100%20Colossal%20Bars,9.3,22.46,protein,Meal Replacement Protein Blend Bar*
Animal Snak Bar,https://shopee.com.my/search?keyword=Animal%20Snak%20Bar,9.3,23.49,protein,High Protein Food Bar with 27g of Protein per Bar
CellMass 2.0,https://shopee.com.my/search?keyword=CellMass%202.0,9.1,23.99,protein,Concentrated Post-Workout Recovery Powder*
Trutein,https://shopee.com.my/search?keyword=Trutein,9.4,57.99,protein,"Whey, Casein and Egg Protein Powder Blend"
Testosterone Booster,https://shopee.com.my/search?keyword=Testosterone%20Booster,9,11.76,vitamin,Natural Testosterone Support Capsule
Juiced Aminos,https://shopee.com.my/search?keyword=Juiced%20Aminos,9.6,19.82,BCAA,BCAA Powder To Support Muscle Growth And Energy!*
Assault,https://shopee.com.my/search?keyword=Assault,6.7,18.89,preworkout,Pre-Workout Powder for Improved Workouts*
Carbo Plus,https://shopee.com.my/search?keyword=Carbo%20Plus,9.8,8.99,BCAA,Performance & Endurance Support!*
B-Nox Androrush,https://shopee.com.my/search?keyword=B-Nox%20Androrush,8.5,33.45,preworkout,Testosterone Boosting Pre-Workout Powder*
MRE Bar,https://shopee.com.my/search?keyword=MRE%20Bar,9.4,34.99,protein,Meal Replacement Bar with 25g Protein
Total War,https://shopee.com.my/search?keyword=Total%20War,6,39.99,preworkout,"Extreme Energy, Unstoppable Power and Laser-Like Focus*"
Real Gains,https://shopee.com.my/search?keyword=Real%20Gains,8.9,54.99,protein,Clean High Protein Weight Gainer!*
SuperPump MAX,https://shopee.com.my/search?keyword=SuperPump%20MAX,8.1,39.26,preworkout,The Ultimate Pre-Workout Supplement Experience*
Lean Body RTD,https://shopee.com.my/search?keyword=Lean%20Body%20RTD,9.4,44.93,protein,Ready-to-Drink MRP!
Egg Pro,https://shopee.com.my/search?keyword=Egg%20Pro,9.6,16.95,protein,Instantized Egg White Protein Powder
Karbolyn Fuel,https://shopee.com.my/search?keyword=Karbolyn%20Fuel,9.5,57.74,BCAA,High-Performance Carbohydrate Powder for Building Muscle*
Syntha-6 Isolate,https://shopee.com.my/search?keyword=Syntha-6%20Isolate,8.9,53.8,protein,100% Isolate Protein Matrix!
All 9 Amino,https://shopee.com.my/search?keyword=All%209%20Amino,8.3,29.99,protein,"Non-GMO, Contains No Dyes, and Matches the Amino Profile of Whey Protein"
Superior Amino 2222,https://shopee.com.my/search?keyword=Superior%20Amino%202222,8.7,15.48,BCAA,Full Amino Acid Spectrum
C4 Sport,https://shopee.com.my/search?keyword=C4%20Sport,6.4,19.99,preworkout,Pre-Workout Optimized For Exercise*
Pro Complex Protein,https://shopee.com.my/search?keyword=Pro%20Complex%20Protein,9.3,54.78,protein,Muscle Building Protein Mix!*
Ferodrox,https://shopee.com.my/search?keyword=Ferodrox,8.9,58.99,vitamin,Helps Support Healthy Testosterone and Cortisol Balance*
PRO BCAA,https://shopee.com.my/search?keyword=PRO%20BCAA,9.1,19.74,BCAA,Support Recovery After Intense Exercise*
MyoBuild 4x Amino-BCAA,https://shopee.com.my/search?keyword=MyoBuild%204x%20Amino-BCAA,9.8,20.99,BCAA,4:1:1 Bcaa Ratio
Pre-Workout Explosion,https://shopee.com.my/search?keyword=Pre-Workout%20Explosion,9.5,16.01,protein,Clinically Proven Pre-Workout Supplement!
True Mass 1200,https://shopee.com.my/search?keyword=True%20Mass%201200,9.2,48.61,protein,Multi-Functional Protein & Carbohydrate Matrix*
WHEY,https://shopee.com.my/search?keyword=WHEY,9.5,39.97,protein,28g of Protein Per Serving to Support Lean Muscle Growth and Training Recovery*
EAA Max,https://shopee.com.my/search?keyword=EAA%20Max,8.7,25.19,BCAA,With full amino acid profile and 5g of BCAAs per serving to support muscle growth & recovery*
Her Amino Burner,https://shopee.com.my/search?keyword=Her%20Amino%20Burner,9.1,23.93,BCAA,Intra-Workout Bcaa Fat Burner + Energy*
Lean Body MRP,https://shopee.com.my/search?keyword=Lean%20Body%20MRP,9.2,35.3,protein,High Protein Meal Replacement Shake!
Gold Standard 100% Isolate,https://shopee.com.my/search?keyword=Gold%20Standard%20100%%20Isolate,7.6,49.99,protein,With 25g of isolate protein to support muscle growth and weight management*
Pro Pre,https://shopee.com.my/search?keyword=Pro%20Pre,8,32.99,preworkout,"300Mg Of Caffeine To Deliver Energy, Focus, And Endurance*"
Xtend HydraSport,https://shopee.com.my/search?keyword=Xtend%20HydraSport,9,19.99,BCAA,7g of BCAAs per Serving in 2:1:1 Ratio to Support Workout Endurance and Muscle Recovery*
Cor-Performance Glutamine,https://shopee.com.my/search?keyword=Cor-Performance%20Glutamine,9.9,7.99,BCAA,Glutamine Powder For Supporting Workout Recovery*
Creatine X3 Pill,https://shopee.com.my/search?keyword=Creatine%20X3%20Pill,9.9,9.61,creatine,Clinicically Proved Creatine Pill*
Mass-Tech Extreme 2000,https://shopee.com.my/search?keyword=Mass-Tech%20Extreme%202000,8,71.99,BCAA,The Ultimate 100% Whey Protein + Mass Gainer
Protein Brownie,https://shopee.com.my/search?keyword=Protein%20Brownie,8.8,24.97,protein,16g of protein per brownie to support muscle growth and recovery*
Isoburn,https://shopee.com.my/search?keyword=Isoburn,9,25.98,protein,Protein Powder to Support Weight Management*
SYNTHA-6 EDGE,https://shopee.com.my/search?keyword=SYNTHA-6%20EDGE,9,33.98,protein,Leaner Macronutrient Profile For Athletes Looking To Achieve A Shredded Physique
Protein Plus Bars,https://shopee.com.my/search?keyword=Protein%20Plus%20Bars,9.2,22.37,protein,Great Tasting And Convenient!
Elite Protein Bar,https://shopee.com.my/search?keyword=Elite%20Protein%20Bar,8.7,26.97,protein,Deliciously Satisfying Protein in Every Bar
ZMA Pro,https://shopee.com.my/search?keyword=ZMA%20Pro,9.1,25.99,vitamin,High Quality ZMA for Optimal Testosterone Support*
Nitraflex + Creatine,https://shopee.com.my/search?keyword=Nitraflex%20+%20Creatine,8.8,29.99,creatine,Formulated To Increase Power Output And Muscle Endurance*
HydroBCAA,https://shopee.com.my/search?keyword=HydroBCAA,9.9,25.19,BCAA,Formulated With 7G Bcaas To Support Muscle Recovery*
Muscle Milk,https://shopee.com.my/search?keyword=Muscle%20Milk,8.4,53.92,protein,Promote Muscle Growth And Repair!*
Wrecking Balls,https://shopee.com.my/search?keyword=Wrecking%20Balls,7.9,18.2,vitamin,Naturally Support Testosterone Levels in a Normal Range
Prolific,https://shopee.com.my/search?keyword=Prolific,8.2,33.59,preworkout,Pre-Workout Powder Aids In Alertness During Workouts*
Creatine,https://shopee.com.my/search?keyword=Creatine,9.2,10.99,creatine,Patented Pure Creatine Monohydrate Powder for Building Muscle*
Vegan Series Select Protein,https://shopee.com.my/search?keyword=Vegan%20Series%20Select%20Protein,7.6,31.49,protein,20G Of Vegan Protein Per Serving
Stacked Plant Protein,https://shopee.com.my/search?keyword=Stacked%20Plant%20Protein,9.3,34.99,protein,20g of Complete Plant Protein per Serving to Support Muscle Growth and Recovery*
Combat 100% Whey,https://shopee.com.my/search?keyword=Combat%20100%%20Whey,9,38.49,protein,25G Fast Digesting Protein
Essential AmiN.O. Energy + Electrolytes,https://shopee.com.my/search?keyword=Essential%20AmiN.O.%20Energy%20+%20Electrolytes,6.7,15.99,electrolyte,Contains 5g of Amino Acids and 100mg of Caffeine to Support Energy & Recovery*
HMB 1000,https://shopee.com.my/search?keyword=HMB%201000,9.4,31.94,BCAA,Metabolite of Leucine!
Gold Standard BCAA,https://shopee.com.my/search?keyword=Gold%20Standard%20BCAA,9,23.99,BCAA,BCAA Powder for Muscle Endurance and Recovery*
rawfusion,https://shopee.com.my/search?keyword=rawfusion,8.7,35.27,protein,Raw Plant Based Protein!
EAA Energy,https://shopee.com.my/search?keyword=EAA%20Energy,9.9,25.19,BCAA,Contains 8.2g of Amino Recovery Matrix to Support Muscle Recovery and Growth*
Intra Blast,https://shopee.com.my/search?keyword=Intra%20Blast,8.2,41.99,BCAA,Comprehensive Intra-Workout For Aiding Exercise Recovery*
ISO100 Clear RTD,https://shopee.com.my/search?keyword=ISO100%20Clear%20RTD,9,3.99,protein,40g of 100% Whey Protein Isolate.  0g of Sugar and Fat.
100% Whey Protein Isolate,https://shopee.com.my/search?keyword=100%%20Whey%20Protein%20Isolate,8.6,39.99,protein,100% Whey Protein Isolate For Supporting Muscle Growth*
ZMA,https://shopee.com.my/search?keyword=ZMA,8.9,23.97,vitamin,Zinc Magnesium Aspartate to Maximize Absorption and Promote Recovery*
Natural Series Organic Protein Bars,https://shopee.com.my/search?keyword=Natural%20Series%20Organic%20Protein%20Bars,9.6,20.99,protein,"Gluten-Free Plus Contains No Artificial Ingredients, Soy Or Dairy"
BCAA 5000 Powder,https://shopee.com.my/search?keyword=BCAA%205000%20Powder,8.2,19.64,BCAA,Instantized!
Carb Killa Protein Spread,https://shopee.com.my/search?keyword=Carb%20Killa%20Protein%20Spread,9.3,11.28,protein,20% Whey Protein In A Tasty Spread
Carnivor,https://shopee.com.my/search?keyword=Carnivor,8.7,51.65,protein,Bioengineered Beef Protein Isolate!
CreaClear,https://shopee.com.my/search?keyword=CreaClear,9.8,24.99,creatine,Contains 5g of Microencapsulated Creatine Monohydrate to Support Strength & Endurance*
